C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_025.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_025.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_025.jpg, 0, 0, 0, 2.360155E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_131.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_131.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_131.jpg, 0, 0, 0, 2.10071E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_232.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_232.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_232.jpg, 0, 0, 0, 2.110442E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_336.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_336.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_336.jpg, 0, 0, 0, 2.178564E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_436.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_436.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_436.jpg, 0, 0, 0, 2.275903E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_544.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_544.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_544.jpg, 0, 0, 0, 2.454398E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_649.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_649.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_649.jpg, 0, 0, 0, 2.102218E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_754.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_754.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_754.jpg, 0, 0, 0, 2.098206E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_861.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_861.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_861.jpg, 0, 0, 0, 2.299058E-05
C:\Users\asmaf\Desktop\Data\IMG\center_2020_07_05_20_08_57_969.jpg, C:\Users\asmaf\Desktop\Data\IMG\left_2020_07_05_20_08_57_969.jpg, C:\Users\asmaf\Desktop\Data\IMG\right_2020_07_05_20_08_57_969.jpg, 0, 0, 0, 2.392117E-05
